DEA,expression_type,MVI,Normalization,label
proDA,bpca,No_norm,1.0
proDA,Impseq,No_norm,1.0
proDA,Impseqrob,No_norm,1.0
proDA,SeqKNN,No_norm,1.0
proDA,GMS,No_norm,1.0
proDA,missForest,No_norm,1.0
DEP,missForest,No_norm,1.0
proDA,zero,No_norm,1.0
DEP,SeqKNN,No_norm,1.0
DEP,bpca,No_norm,1.0
DEP,GMS,No_norm,1.0
DEP,Impseqrob,No_norm,1.0
proDA,No_MVI,No_norm,1.0
proDA,QRILC,No_norm,1.0
DEP,Impseq,No_norm,1.0
proDA,mice,No_norm,1.0
proDA,MinProb,No_norm,1.0
DEP,No_MVI,No_norm,1.0
proDA,knn,No_norm,1.0
proDA,MLE,No_norm,1.0
DEP,QRILC,No_norm,1.0
proDA,MinDet,No_norm,1.0
DEP,mice,No_norm,1.0
proDA,min,No_norm,1.0
proDA,nbavg,No_norm,1.0
DEP,min,No_norm,1.0
DEP,nbavg,No_norm,1.0
DEP,MLE,No_norm,1.0
limma,MLE,No_norm,1.0
limma,QRILC,No_norm,1.0
limma,knn,No_norm,1.0
limma,min,No_norm,1.0
limma,bpca,lossf,1.0
proDA,bpca,lossf,1.0
proDA,GMS,lossf,1.0
proDA,Impseqrob,lossf,1.0
limma,Impseq,lossf,1.0
limma,Impseqrob,lossf,1.0
limma,SeqKNN,lossf,1.0
limma,GMS,lossf,1.0
proDA,SeqKNN,lossf,1.0
proDA,Impseq,lossf,1.0
limma,nbavg,No_norm,1.0
MSstats,TRUE,FALSE,1.0
MSstats,FALSE,FALSE,1.0
DEP,MinProb,No_norm,1.0
DEP,MinDet,No_norm,1.0
MSstats,FALSE,FALSE,1.0
MSstats,TRUE,FALSE,1.0
proDA,missForest,lossf,1.0
limma,zero,No_norm,1.0
limma,MinProb,No_norm,1.0
limma,MinDet,No_norm,1.0
proDA,No_MVI,lossf,1.0
limma,missForest,lossf,1.0
limma,GMS,No_norm,1.0
proDA,QRILC,lossf,1.0
proDA,zero,lossf,1.0
limma,No_MVI,lossf,1.0
limma,QRILC,lossf,1.0
proDA,mice,lossf,1.0
proDA,MLE,lossf,1.0
limma,mice,lossf,1.0
proDA,MinProb,lossf,1.0
limma,bpca,No_norm,1.0
limma,Impseq,No_norm,1.0
limma,Impseqrob,No_norm,1.0
proDA,knn,lossf,1.0
limma,MinProb,lossf,1.0
limma,mice,No_norm,1.0
proDA,MinDet,lossf,1.0
limma,SeqKNN,No_norm,1.0
MSstats,TRUE,FALSE,1.0
limma,missForest,No_norm,1.0
limma,MinDet,lossf,1.0
MSstats,FALSE,FALSE,1.0
limma,MLE,lossf,1.0
limma,knn,lossf,1.0
limma,nbavg,lossf,1.0
limma,min,lossf,1.0
proDA,nbavg,lossf,2.0
limma,No_MVI,No_norm,2.0
proDA,min,lossf,2.0
limma,zero,lossf,2.0
proDA,GMS,Rlr,2.0
proDA,SeqKNN,Rlr,2.0
limma,GMS,Rlr,2.0
proDA,Impseq,Rlr,2.0
limma,SeqKNN,Rlr,2.0
limma,Impseq,Rlr,2.0
limma,bpca,Rlr,2.0
proDA,Impseqrob,Rlr,2.0
limma,Impseqrob,Rlr,2.0
proDA,bpca,Rlr,2.0
proDA,missForest,Rlr,2.0
limma,missForest,Rlr,2.0
proDA,No_MVI,Rlr,2.0
limma,No_MVI,Rlr,2.0
proDA,QRILC,Rlr,2.0
limma,QRILC,Rlr,2.0
proDA,zero,Rlr,2.0
proDA,MLE,Rlr,2.0
limma,MinProb,Rlr,2.0
proDA,MinProb,Rlr,2.0
proDA,mice,Rlr,2.0
limma,mice,Rlr,2.0
limma,MinDet,Rlr,2.0
proDA,MinDet,Rlr,2.0
limma,MLE,Rlr,2.0
proDA,knn,Rlr,2.0
limma,nbavg,Rlr,2.0
limma,knn,Rlr,2.0
limma,min,Rlr,2.0
proDA,nbavg,Rlr,2.0
DEP,GMS,Rlr,2.0
DEP,Impseq,Rlr,2.0
DEP,bpca,Rlr,2.0
DEP,missForest,Rlr,2.0
